account_id,date_closed,deal_length,deal_value,id,is_closed,is_lost,is_won,lead_id,mrr,name,owner_id,stage
4,2020-10-12,9,16690.62,1,True,True,,46,1854.51,facilitate real-time schemas,1,closed_lost
2,,3,19789.6,2,False,,,554,6596.53,syndicate innovative action-items,17,qualified
8,,4,878.71,3,False,,,889,219.68,generate intuitive technologies,24,qualified
2,2020-05-21,6,19099.42,4,True,,True,540,3183.24,aggregate user-centric functionalities,3,closed_won
6,2020-04-19,2,24778.21,5,True,True,,863,12389.1,target plug-and-play models,16,closed_lost
1,,8,4972.01,6,False,,,337,621.5,visualize vertical solutions,20,solution_design
1,,2,6567.11,7,False,,,537,3283.55,mesh robust markets,9,solution_design
7,2019-09-04,1,4899.58,8,True,,True,74,4899.58,innovate vertical users,15,closed_won
5,,1,287.56,9,False,,,621,287.56,cultivate distributed web-readiness,21,qualified
7,2019-12-23,4,7971.15,10,True,,True,806,1992.79,orchestrate user-centric bandwidth,5,closed_won
5,,9,22252.06,11,False,,,361,2472.45,innovate next-generation e-markets,15,discovery
1,2019-07-11,8,2608.91,12,True,,True,358,326.11,matrix bricks-and-clicks bandwidth,1,closed_won
5,2020-03-12,4,22447.96,13,True,True,,810,5611.99,optimize out-of-the-box metrics,1,closed_lost
4,2020-08-29,8,4547.0,14,True,True,,533,568.38,transform compelling info-mediaries,22,closed_lost
7,2019-01-01,5,23886.85,15,True,,True,51,4777.37,synergize plug-and-play action-items,2,closed_won
9,,9,18875.39,16,False,,,791,2097.27,extend e-business e-markets,15,solution_design
2,2020-06-11,5,11102.72,17,True,True,,987,2220.54,scale ubiquitous e-commerce,1,closed_lost
3,2019-05-02,6,1383.02,18,True,True,,430,230.5,redefine cross-media web services,12,closed_lost
2,,2,15056.85,19,False,,,585,7528.43,facilitate best-of-breed paradigms,16,discovery
8,2020-10-04,6,24014.67,20,True,,True,730,4002.44,envisioneer interactive communities,9,closed_won
6,,3,7675.4,21,False,,,431,2558.47,empower global e-services,24,solution_design
1,2020-05-14,10,6953.31,22,True,,True,786,695.33,deliver plug-and-play deliverables,17,closed_won
9,2019-10-08,11,13787.38,23,True,,True,837,1253.4,strategize leading-edge content,5,closed_won
4,2019-09-09,8,2333.04,24,True,True,,899,291.63,cultivate visionary relationships,18,closed_lost
4,,10,20542.13,25,False,,,611,2054.21,synthesize wireless supply-chains,19,discovery
8,2020-05-13,3,17963.09,26,True,,True,102,5987.7,engineer robust action-items,14,closed_won
7,2020-04-16,6,22702.81,27,True,,True,495,3783.8,transition magnetic metrics,12,closed_won
3,2020-09-20,8,23587.11,28,True,,True,715,2948.39,synthesize cutting-edge functionalities,14,closed_won
3,2020-04-24,8,11227.86,29,True,,True,150,1403.48,benchmark leading-edge technologies,14,closed_won
5,2020-10-14,2,639.61,30,True,True,,145,319.81,brand mission-critical mindshare,4,closed_lost
2,,7,4390.66,31,False,,,505,627.24,optimize distributed functionalities,7,qualified
4,,1,9381.24,32,False,,,103,9381.24,implement intuitive methodologies,7,solution_design
7,2019-10-04,10,10203.72,33,True,True,,726,1020.37,disintermediate user-centric e-markets,12,closed_lost
3,,11,20508.6,34,False,,,422,1864.42,empower strategic e-commerce,9,discovery
4,2019-03-19,10,6919.44,35,True,True,,217,691.94,optimize efficient relationships,22,closed_lost
6,2019-07-03,1,22182.09,36,True,True,,667,22182.09,deploy one-to-one functionalities,16,closed_lost
7,2019-12-29,8,20332.62,37,True,True,,705,2541.58,expedite efficient paradigms,16,closed_lost
4,,3,6344.14,38,False,,,573,2114.71,visualize e-business eyeballs,13,solution_design
7,2020-08-27,2,20580.86,39,True,,True,347,10290.43,streamline B2C markets,2,closed_won
6,2020-08-07,11,15622.66,40,True,,True,812,1420.24,seize proactive synergies,1,closed_won
